code,Commodities/Industries,11,21,22,23,31G,42,44RT,48TW,51,FIRE,PROF,6,7,81,G
code,Name,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Professional and business services,"Educational services, health care, and social assistance","Arts, entertainment, recreation, accommodation, and food services","Other services, except government",Government
11,"Agriculture, forestry, fishing, and hunting",110551,105,---,1087,257078,39,1714,46,---,6,2455,248,8578,125,5232
21,Mining,1344,40424,12331,13382,319715,25,10,183,770,41,2150,738,2272,1282,28377
22,Utilities,9357,8529,11312,9330,71546,15291,40059,10382,8966,53774,16640,23920,34440,6464,29937
23,Construction,1578,4973,7391,248,21378,3370,7567,6154,3132,127667,3452,3183,7616,3241,93643
31G,Manufacturing,67527,47423,14083,381441,1842446,100482,47269,115158,68864,70188,163278,201586,136561,66492,365888
42,Wholesale trade,43698,12536,6231,88839,398125,59924,26274,28042,26973,30317,39887,59544,36886,14458,67575
44RT,Retail trade,1391,511,2828,78528,17991,475,4577,12071,305,6729,4613,684,9148,8168,258
48TW,Transportation and warehousing,13018,10994,18803,26557,165811,104548,66354,153079,16988,50798,64094,25638,15901,5661,73626
51,Information,1050,1143,6812,8438,22952,19162,26981,7274,242688,78607,94124,30316,24883,13653,128408
FIRE,"Finance, insurance, real estate, rental, and leasing",16152,28571,24263,46457,96752,184578,201594,120339,95451,1291700,328158,252030,137872,85128,67614
PROF,Professional and business services,4843,36429,41707,76984,230965,320432,187082,83037,221060,533829,626436,276062,164869,62174,267769
6,"Educational services, health care, and social assistance",2,---,149,5,31,1873,3448,227,133,31,581,41336,2308,1817,21261
7,"Arts, entertainment, recreation, accommodation, and food services",556,674,3877,1172,7017,15574,8468,10723,46439,97414,74217,50876,46416,4786,16854
81,"Other services, except government",389,654,1543,5856,14391,17647,12254,11982,7457,51626,40136,21681,13140,6626,34015
G,Government,16,3,677,9,5466,22752,8547,8086,2453,10746,8931,6761,9460,1892,12214
