Code,Commodities/Industries,11,21,22,23,31G,42,44RT,48TW,51,FIRE,PROF,6,7,81,G
Code,Name,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Professional and business services,"Educational services, health care, and social assistance","Arts, entertainment, recreation, accommodation, and food services","Other services, except government",Government
11,"Agriculture, forestry, fishing, and hunting",111976,131,---,1561,252965,54,2111,37,---,7,3127,244,10304,116,6128
21,Mining,1208,59136,19352,14085,378159,23,6,149,1105,18,2256,654,2012,1242,26937
22,Utilities,8940,12529,23494,9498,73242,16982,42820,11519,11906,52496,17208,23675,35884,7190,31101
23,Construction,1444,5797,6978,257,21288,3835,8147,6475,3486,124787,3917,3273,7947,3430,98276
31G,Manufacturing,69367,64696,21075,399632,1959573,108330,51283,134820,79437,81650,181808,217923,140120,69494,399251
42,Wholesale trade,43129,16315,7515,94496,421449,62410,27516,31070,29350,32550,44711,62502,39832,15489,73287
44RT,Retail trade,1424,677,3264,83157,18620,514,4979,12617,324,6830,5138,663,9567,7870,268
48TW,Transportation and warehousing,13799,15373,23006,28730,180242,113261,71740,161307,20152,55748,68678,28525,17476,5721,80936
51,Information,810,1489,7208,8407,22803,20810,28981,10217,257794,78624,101763,31201,27529,14072,131352
FIRE,"Finance, insurance, real estate, rental, and leasing",14158,39242,25690,49254,105733,200930,209747,143367,108302,1327878,347437,259685,151679,85934,80522
PROF,Professional and business services,3805,52339,42641,77743,226755,353499,202231,90460,253060,576562,660315,279205,171299,64655,288214
6,"Educational services, health care, and social assistance",2,---,136,4,27,1811,3385,250,141,45,617,29394,2914,2154,22064
7,"Arts, entertainment, recreation, accommodation, and food services",436,792,4046,1146,7075,16817,8909,11519,51289,101682,77295,56527,49405,4436,19080
81,"Other services, except government",320,748,1463,5925,14719,19737,13319,13134,8417,48072,39560,22155,14248,7159,36259
G,Government,13,3,889,8,5318,23320,8647,8306,2752,11339,9170,6985,9715,1837,12604
